index;k_hex;k_dec;hash160;wif;y_parity;match
1;400000000000000000;1180591620717411303424;0e137b1e6bb72c5c119a805e65c131b17044d88c;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEWquHPtvw;impar;NÃO
2;400000000000000001;1180591620717411303425;455b36ce7ea25bd69aa04785e7689bcd286aceb4;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEXLpufCN4;impar;NÃO
3;400000000000000002;1180591620717411303426;a40af879c1915b63f7264a59b2276bd1f3041fc0;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEXqj5h78m;impar;NÃO
4;400000000000000003;1180591620717411303427;3145fa44070935ebb476fabb8a75570fa3d93c49;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEYLc2ykbb;impar;NÃO
5;400000000000000004;1180591620717411303428;149f34ea4db950a4fbb67b267f11d0560e5e8249;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEYqQFa7Eb;par;NÃO
6;400000000000000005;1180591620717411303429;7cd3d7701faaf2a24347d8ab4dfede9a054b59cf;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEZLJ9kzyo;par;NÃO
7;400000000000000006;1180591620717411303430;cb21c69df2eeb546e97a950c94d74e067fb4f40a;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEZqEXPgdA;impar;NÃO
8;400000000000000007;1180591620717411303431;1b248be30352f0dba7dcad91f53389efae1e0cbe;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEaL8WMbmu;par;NÃO
9;400000000000000008;1180591620717411303432;b71aac9f1f74d636869b97c08fc124a05bca2373;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEapvajhbW;par;NÃO
10;400000000000000009;1180591620717411303433;e4beb946147f3226b3d0379c122d8d8607023f57;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEbKtdBnsU;par;NÃO
11;40000000000000000a;1180591620717411303434;c89a7e2ee5bd519af5f947752c9835f960dd1934;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEbpk8WhpE;par;NÃO
12;40000000000000000b;1180591620717411303435;af717f3173a6ca7645262482f41723960310423e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEcKcakcpD;impar;NÃO
13;40000000000000000c;1180591620717411303436;ca2b475b77977aadd0f80455cd750776581f3b32;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEcpUhs53s;par;NÃO
14;40000000000000000d;1180591620717411303437;00b90ac213da5802598ef65eec3d4af62e568597;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEdKN7T6Pp;impar;NÃO
15;40000000000000000e;1180591620717411303438;0bf8dbc141dc42ae1bb4b115209679cdcbbbd922;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEdpFJVppU;par;NÃO
16;40000000000000000f;1180591620717411303439;794ee550eb017e55a4725b344d8b31cf9c80b7a4;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEeK7ZDtfC;par;NÃO
17;400000000000000010;1180591620717411303440;5c6b3f07a97fdf362b2070ddeb17c2a6e5eff933;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEep4rhQio;impar;NÃO
18;400000000000000011;1180591620717411303441;927f7f4c7d6631f2230816fc31ee2959dd22191b;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEfJviVLxn;par;NÃO
19;400000000000000012;1180591620717411303442;51b1806d6081459468bc387100eb408826c39936;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEfopoU7Cz;par;NÃO
20;400000000000000013;1180591620717411303443;b822c3b2b1b9d2aab599663a6a0b92f5b50901e5;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEgJjKgD8a;par;NÃO
21;400000000000000014;1180591620717411303444;2b7f3d416355471ce332bb107349f575bec234c1;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEgoZArg3k;par;NÃO
22;400000000000000015;1180591620717411303445;592a6b38756f0d2b6a1091bfe533601bd227cee9;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEhJPrEjcg;par;NÃO
23;400000000000000016;1180591620717411303446;40ced9ff071cc0b2c6a0a935b33467d74909ea2e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEhoJkgoaH;par;NÃO
24;400000000000000017;1180591620717411303447;3b12dae23d82b5008255a13f30bc07e115771302;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEiJBTLEEx;impar;NÃO
25;400000000000000018;1180591620717411303448;f90a9deb32767305986fe919d3ff3a1ed61ec187;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEio96SjtA;impar;NÃO
26;400000000000000019;1180591620717411303449;c161e90d66dc8ae2da59f2a7a577b633448a8ba6;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEjHw48GxK;impar;NÃO
27;40000000000000001a;1180591620717411303450;ba3ec8663e961b351ab922fe9d650eb3d754894c;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEjnt3Kj82;impar;NÃO
28;40000000000000001b;1180591620717411303451;ca9e50d0a5069b2f06fb7bca79607bc6f3fdb557;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEkHhbwuoP;impar;NÃO
29;40000000000000001c;1180591620717411303452;5e26f43e31a37666f977f9d402162a97e93e57c9;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEknfbfbbM;impar;NÃO
30;40000000000000001d;1180591620717411303453;1dcc61c4a150f997e7efe5c2dabb9505827363e1;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEmHY8V5Z9;par;NÃO
31;40000000000000001e;1180591620717411303454;5bdbe25a98451b0ae7039b58878b17c5508272c9;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEmnQGA11q;impar;NÃO
32;40000000000000001f;1180591620717411303455;c220a1c7074267dcd676e2f599c20ba6213b4153;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEnHGUfKSX;impar;NÃO
33;400000000000000020;1180591620717411303456;2a52238f8e28005cf469c52bbbd28bb00f7b5e11;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEnnASdYD3;par;NÃO
34;400000000000000021;1180591620717411303457;7a7c7be9b5cb5b55d8c86706f004f55975b47fd5;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEoH1AKbKE;par;NÃO
35;400000000000000022;1180591620717411303458;90c6269be928b4234718b0e24d0e89a379905d00;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEomxbxo2t;impar;NÃO
36;400000000000000023;1180591620717411303459;fb847755b5421fc19d6a5a21a17377dbfbeff48b;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEpGpMMwU3;par;NÃO
37;400000000000000024;1180591620717411303460;074d540253744e2602ca628874317167bedf12d4;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEpmhfHcnU;par;NÃO
38;400000000000000025;1180591620717411303461;4965d8a3156220ba8c6e702e3bc3b6b0bac6a9aa;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEqGZzz4Qz;impar;NÃO
39;400000000000000026;1180591620717411303462;626da9ae48d0f23df1beb23b860060f213fa68b9;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEqmVQuYbM;par;NÃO
40;400000000000000027;1180591620717411303463;adbfe606ceb4757131eed8596d5231e89d36392e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWErGNgzx9f;impar;NÃO
41;400000000000000028;1180591620717411303464;3423838926935946706a041d9fc14e2429cf968e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWErmF5pZ8w;par;NÃO
42;400000000000000029;1180591620717411303465;0902a61f0b04ffd0e8d1425170bc997ddf753844;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEsG6GdVfM;impar;NÃO
43;40000000000000002a;1180591620717411303466;6da3def135eea0a36251db86b56d80908e51b272;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEskwMM39n;impar;NÃO
44;40000000000000002b;1180591620717411303467;87d0e4314c1f12bf96825b95c4356604603f701a;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEtFqaWaLD;par;NÃO
45;40000000000000002c;1180591620717411303468;9a5218bf88393e24866e10f42cbc4b9b43e4346e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEtkjqmvbH;par;NÃO
46;40000000000000002d;1180591620717411303469;e73bd94b701b9106e59fc79a707f03504db0dc8d;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEuFfe36wH;par;NÃO
47;40000000000000002e;1180591620717411303470;d220f9f81cce221aedc6c73d534220b67bdb1e1f;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEukYgCyjj;par;NÃO
48;40000000000000002f;1180591620717411303471;acdb2c6eb395ea8057689c0f9d7473d1f848cbd2;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEvFPQQSvF;par;NÃO
49;400000000000000030;1180591620717411303472;ca5d5d2199ab6bcb763daeecb7391c5332b7d984;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEvkETqKZ1;impar;NÃO
50;400000000000000031;1180591620717411303473;5319c63a8e648a4b6524d74a05ad5b2d4eac054e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEwFCkVUUx;par;NÃO
51;400000000000000032;1180591620717411303474;c225a3b042911c5b3731323e5cfccea8e6b7b423;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEwk4wne1Z;impar;NÃO
52;400000000000000033;1180591620717411303475;54eca0a890662977d88387e623aa7f15e9a67f4a;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWExExJvT1g;impar;NÃO
53;400000000000000034;1180591620717411303476;7dc25487dfc0c18a54005021fee65227f70deb0e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWExjpeem8Y;par;NÃO
54;400000000000000035;1180591620717411303477;a172a4d329daefd9d1d70b6e409806e0104725f5;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEyEgJWMUp;impar;NÃO
55;400000000000000036;1180591620717411303478;eafcc1b3e0a2e89a3af25e47aaea41b9c49bc5d8;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEyjb1P3t2;impar;NÃO
56;400000000000000037;1180591620717411303479;5248712d5cf05fb32ec2dc54d29c3393fc260c0b;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEzERrVCxK;impar;NÃO
57;400000000000000038;1180591620717411303480;f4fe26810a8f74d798e80517c24cf1b7b7da1cc5;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWEzjP3hrX3;par;NÃO
58;400000000000000039;1180591620717411303481;596693712d16e5fea8bcd3a34bc08e410baf769d;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF1EEmDXXH;impar;NÃO
59;40000000000000003a;1180591620717411303482;0c91de93348f0a5fbb73c66ab080527af208f7c4;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF1j7M9uUp;impar;NÃO
60;40000000000000003b;1180591620717411303483;79ca0d1a6f59a22365a02a0bb40a8cc63aca77d5;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF2E2UqLze;impar;NÃO
61;40000000000000003c;1180591620717411303484;398ed8deb83371310d32c397a83b2b2dde30ebf5;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF2ipei7pS;par;NÃO
62;40000000000000003d;1180591620717411303485;8d2c54c5f05853ebffaca25ef9de0a68381ebd0f;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF3DivubYE;impar;NÃO
63;40000000000000003e;1180591620717411303486;9cb32c4d860002740c3d6be6cefe6fd98d41ba63;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF3ibUNpHR;impar;NÃO
64;40000000000000003f;1180591620717411303487;467f7e7867621cd5b34a32e5852c58e628e48b95;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF4DWC8pGw;par;NÃO
65;400000000000000040;1180591620717411303488;12778c9a4bc2628eec70ea8e490421d4566a79bd;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF4iSEv9e3;impar;NÃO
66;400000000000000041;1180591620717411303489;a6afeab9bec8507250af597757afaf6b19caa1a1;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF5DKYQNc9;impar;NÃO
67;400000000000000042;1180591620717411303490;6670dfd8c7cc9b6bf7f7c230fba38be691b95992;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF5iAnH88g;impar;NÃO
68;400000000000000043;1180591620717411303491;ac3ddd54bc4509e7a16b78691e7c077a9d711709;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF6D4Esyiq;impar;NÃO
69;400000000000000044;1180591620717411303492;89c9b5e47af3b7f353fea01af9a7da4387082790;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF6htsXX4t;impar;NÃO
70;400000000000000045;1180591620717411303493;94f0e16bf61b63a3bdd215a016020f89f9c6045b;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF7Cneua7G;impar;NÃO
71;400000000000000046;1180591620717411303494;37cc255343f83ef5f2d832e7bbdbb774fca1f674;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF7heo72Vc;impar;NÃO
72;400000000000000047;1180591620717411303495;e63b9aeffe43db772a9f5bbe4e28df94bde58a72;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF8CWyjyUA;impar;NÃO
73;400000000000000048;1180591620717411303496;832e3f3b89075cd32a775d97d10cfea46819fd02;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF8hPpj6bT;impar;NÃO
74;400000000000000049;1180591620717411303497;d01956008c1e22927f4f8085ec6746fd64c15e63;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF9CKwHuMs;par;NÃO
75;40000000000000004a;1180591620717411303498;4b6626723b96d93954cd5f4af8d7758a3e55d981;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWF9hEHXY1T;par;NÃO
76;40000000000000004b;1180591620717411303499;b2f264c00f15c47e275155397744241a58df5ba9;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFAC4S4NL9;impar;NÃO
77;40000000000000004c;1180591620717411303500;c0c83b31d6839b41024ab670927115219b5039a8;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFAh2XgqhU;impar;NÃO
78;40000000000000004d;1180591620717411303501;9848a3152d065f772bdb9d21b8e63642200180ea;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFBBsoJRz2;impar;NÃO
79;40000000000000004e;1180591620717411303502;96748de141b959814cfe8d359a262164e0e2ac0e;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFBgjU8axu;impar;NÃO
80;40000000000000004f;1180591620717411303503;94fbabc27925c95623abfedd30282d503e4ec007;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFCBaGmcVt;par;NÃO
81;400000000000000050;1180591620717411303504;ed95e2a4d1916bc5abcb3c4d12ed06087c7842e9;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFCgUb5J9i;par;NÃO
82;400000000000000051;1180591620717411303505;85e6f767a8b7751a95595a2fdb9ec9912c3b3765;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFDBMzhjm9;impar;NÃO
83;400000000000000052;1180591620717411303506;bc9ca8199a1420e2797fdea5f1f7e165c929d4d0;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFDgEdP3hV;par;NÃO
84;400000000000000053;1180591620717411303507;99316ffcc73d3dc357382303a679402c39d60f67;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFEB9z29hs;par;NÃO
85;400000000000000054;1180591620717411303508;ca65e53e89775c6fbcd492914a6d6bdd2af14162;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFEg5qYj9M;impar;NÃO
86;400000000000000055;1180591620717411303509;879fb0f173642f3835285e23295c675934ae9786;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFFAyAyUZC;par;NÃO
87;400000000000000056;1180591620717411303510;e3359fa75f8fc1ded974aa2e49ce9dc1c61952ef;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFFfmfMttv;par;NÃO
88;400000000000000057;1180591620717411303511;070b09f940aca259d00f956af613f6c66a92accf;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFGAgZ91ae;par;NÃO
89;400000000000000058;1180591620717411303512;e1932472e3c5bfa24201763aa2ecd628b721182f;KwDiBf89QgGbjEhKnhXJuH7LrciVrZi3qxGLkchTagWFGfb7CWzL;par;NÃO
